id,project,subject,description,author,created_on,updated_on,assignee,status,priority
300,cerowrt,wpad might be useful,sanely distributing a wpad.home.lan to the end clients would help.,Dave Täht,2011-11-18 08:56:20.081539,2012-04-21 12:31:51.652673,Dave Täht,New,Normal
297,cerowrt,Document how to cope with ipv6 better,"",Dave Täht,2011-11-18 08:08:54.489977,2011-11-18 08:08:54.489977,Dave Täht,New,Normal
270,cerowrt,CeroWrt should warn users when it is meshed rather than wired or WDS'ed.,"Right now, CeroWrt may, if it has no wired network connection, mesh automatically with other routers.

The router should warn in some visible (but not too obnoxious way) if it is running in this mode: e.g.
a blinking light, and maybe a highlighted text on the status page.

Running meshed if you don't have wired around is fine, but people should be more easily aware of a router that ""just does it right"" as CeroWrt does.",Jim Gettys,2011-09-16 11:38:22.100159,2012-04-21 12:31:53.184819,Dave Täht,New,High
296,cerowrt,UpNP support could use to be configured,"there is some useful statistics (for example, used by various grad student projects) that might be useful.

",Dave Täht,2011-11-18 08:04:55.528706,2012-04-21 12:42:25.391829,Dave Täht,New,Normal
268,cerowrt,polipo's internal resolver seems busted in rc6,"I have tried to convince polipo to work. It has worked only sporadically for 
months now, To try and nail the issue, I configured it to try to talk to
127.0.0.1, ::1, and an external dns resolver to equal ill effect. 

All dns lookups fail when dnsgethostbyname = false.

### SECTION daemon
pidFile = ""/var/run/polipo.pid""
daemonise = true
### SECTION general
dnsNameServer = ""192.168.1.1""
proxyAddress = ""::""
chunkHighMark = 10485760
dnsUseGethostbyname = false
logSyslog = true
allowedClients = ""127.0.0.1"", ""172.16.0.0/12""
### SECTION cache
cacheIsShared = true
### SECTION pmm
### VALUES THAT ARE DISABLED WHEN EMPTY
diskCacheRoot = """"
logFile = """"
Host gw.home.lan lookup failed: Timeout (131072).
",Dave Täht,2011-09-15 22:05:49.416079,2011-11-18 08:57:11.625601,Dave Täht,New,Normal
273,cerowrt,Is 6rd still usable?,"We haven't tested 6rd for a while, and given Comcast not going forward with 6rd, aren't in a good place to test it.  We never did have a UI for Comcast's temporary configuration, either.  6to4, on the other hand, works like a champ on Comcast right now.

If the patches have been lost, please let us know.  Even better, help test 6rd on an ongoing basis.",Jim Gettys,2011-09-20 10:15:19.989606,2012-07-12 21:59:00.454441,Dave Täht,New,Immediate
292,cerowrt,gdisk support,"I was building support for gpt partitioned disks into the kernel. If I'm 
not, I've screwed up.

I wasn't aware that gdisk existed....

Consider it bug reported.",David Taht,2011-10-28 10:03:22.15759,2012-04-21 12:37:42.63397,Dave Täht,Closed,Normal
147,cerowrt,Router doesn't get DHCP address unless it's rebooted,"If the router boots up without a WAN connection, it doesn't get a dhcp address once connected. Needs a reboot.
udhcpc is up, but not working properly.
",Srikanth Sundaresan,2011-05-15 17:46:28.803288,2011-09-20 10:22:37.741149,Dave Täht,New,High
413,cerowrt,dhcpv6 fails to acquire a /60 correctly on a cablemodem,"In testing with a real cablemodem, with a /60 provisioned, only the first was picked up in cerowrt's default configuration.

Furthermore, the wide-dhcp script would assign all the interfaces the same /64 network (modified by the eui-64) 

The attached dhcpv6 capture file shows a trace of the attempted transaction.",David Taht,2012-10-26 07:37:24.174105,2013-04-11 04:16:18.805889,Dave Täht,Closed,High
274,cerowrt,Propagating dhcpv6 prefix delegation,"With the addition of some dhcpv6 client to our overflowing request bucket, we are faced with yet another need to somehow
propagate ipv6 prefixes and related information across the rest of the stack.

dibbler is being built now, which features PD. isc-dhcp has been built for a long time, but the PD version (if available)
would probably require the currently too-HUGE-tu-use isc-dhcp code, and multiple daemons. I have hope that moving PD support into
AHCP would be easy, but that's only hope at this point - and 

Great. Once we have PD - what do we do with it? We have to get names into DNS with nsupdate, and push PD stuff into radvd,
ahcp, babeld, and THEN onto all the interfaces sanely...

and then... if we have additional routers --- get ADDITIONAL PD working inside the network. Sanely. Securely. Etc.

Building dibbler is only the first step. 

(just when we had 6to4 working great)

getting a grip on the work involved in doing PD right *can* be done during rc7 but I had no time budgeted for this.",Dave Täht,2011-09-20 13:14:57.425125,2012-04-21 13:18:23.118644,Dave Täht,In Progress,Normal
410,cerowrt,support for massively popular tp-link devices?,"Hi,
is there any chance to get support for massively popular and cheap tp-link devices based on ar71xx ?
TP-Link wr703 [1]
TP-Link wr741nd [2]
TP-Link wr1043nd [3]

just to name a few

[1] http://wiki.openwrt.org/toh/tp-link/tl-wr703n
[2] http://wiki.openwrt.org/toh/tp-link/tl-wr741nd
[3] http://wiki.openwrt.org/toh/tp-link/tl-wr1043nd",Valent Turkovic,2012-09-25 00:45:00.667281,2013-06-11 13:37:01.148155,Dave Täht,Rejected,Normal
301,cerowrt,Need to arrange for AQM testing and bakeoff....,"We have SFB; it may be buggy right now.

We hope to see RED light; it's vaporware.

We think we'll need some sort of fair queuing as well as AQM; SFQ looks good there...

And QFQ looks even better. ",Jim Gettys,2011-11-18 09:28:39.8182,2011-12-05 03:21:41.051513,Dave Täht,New,High
271,cerowrt,network devices are no longer sources of entropy,"I'm told that network devices are no longer trusted sources of entropy for random number generation,
yet in a router device, there isn't a lot of entropy to be had from elsewhere.

I had hoped that hardware makers would add rngs to their chipsets long ago, they have plenty of sources onchip to tap for essential randomness. But nooo...

lacking essential randomness things like ssh keys, ssl, and wpa wireless encryption become VERY predictable.

See also: https://dev.openwrt.org/ticket/9631#comment:4

What other entropy sources can be used?",Dave Täht,2011-09-17 10:43:45.337202,2014-06-24 20:01:48.654308,Dave Täht,Closed,Urgent
267,cerowrt,DNS doesn't appear to work on some interfaces,"The report:

This is on an 802.11g (sw00) channel, since there seems to be an issue with DNS on the .11a (sw10) channel. Interestingly enough, when I associate with the .11a guest (sw11) channel, the DNS works. (Go figure; would you like me to file a bug report on that?)

I've seen this too. bind9 is supposed to scan the available interfaces every two minutes, and it seems possible to trigger a new scan when a new interface comes up OR have some linux specific monitoring thing (inotify, kernel event?) 

Certainly all the wireless interfaces are not active when named starts...

I also note that this report is AFTER we upgraded to bind 9.8.1....",Dave Täht,2011-09-10 12:58:06.980362,2011-09-17 15:40:54.731092,Dave Täht,Closed,Urgent
204,cerowrt,Better oom-survival overall,"while I have patched xinetd to run with oom=1000, when it forks it cannot seem to reset the oom value of the forked process back to a sane value. (I have not folded this patch into the build yet, because of this)

Secondly, once that actually works, oom-protecting - or not - more stuff would be desirable.

Dropbear could run out of xinetd for sure... rsync already runs out of xinetd, netperf does also but some tests fail on the svn version.

Perhaps git-daemon... 

Definately some sensors...

It would be great of lighttpd could run out of xinetd - or some web server - as you only need the web server running rarely... iperf -s doesn't work out of xinetd either....

nearly every daemon could run out of something like xinetd (I'm not sold on xinetd, or init, but
leaving processes around, unmonitored, is a sure recipe for eventual failure) Monit maybe. systemd and launchd are way too big and overdesigned for this task. ",Dave Täht,2011-07-10 16:06:18.032171,2012-04-21 12:32:48.004007,Dave Täht,In Progress,High
275,cerowrt,"Defaults on factory firmware WNDR3700v2, v1.0.0.10 firmware","I upgraded my ""factory firmware"" box to latest (at this date, 1.0.0.10), did a reset to factory defaults, and here is the result.

We should arrange to adopt these defaults when they make sense, and if not document the differences (for example, we may not want to do ht40 on 2.4ghz).

Router Status


Hardware Version	WNDR3700v2
Firmware Version	V1.0.0.10
GUI Language Version	V1.0.0.67

Internet Port
MAC Address	C4:3D:C7:AF:26:F1
IP Address	192.168.1.24
Connection	DHCP
IP Subnet Mask	255.255.255.224
Domain Name Server	192.168.1.1

LAN Port
MAC Address	C4:3D:C7:AF:26:F0
IP Address	10.0.0.1

Wireless Port
Wireless Settings b/g/n
    Name (SSID)	NETGEAR
    Region	North America
    Channel	Auto ( 1 )
    Mode	Up to 130 Mbps
    Wireless AP	On
    Broadcast Name	On
    Wireless isolation	Off
Wireless Settings a/n
    Name (SSID)	NETGEAR-5G
    Region	North America
    Channel	44(P)+48(S)
    Mode	Up to 300 Mbps
    Wireless AP	On
    Broadcast Name	On
    Wireless isolation	Off
Wi-Fi Protected Setup b/g/n	Not Configured
Wi-Fi Protected Setup a/n	Not Configured

Guest Network
Wireless Settings b/g/n
    Name (SSID)	NETGEAR-Guest
    Wireless AP	Off
    Broadcast Name	On
    Wireless isolation	Off
    Allow guest to access My Local Network	Off
Wireless Settings a/n
    Name (SSID)	NETGEAR-5G-Guest
    Wireless AP	Off
    Broadcast Name	On
    Wireless isolation	Off
    Allow guest to access My Local Network	Off


Advanced Wireless Settings


Advanced Wireless Settings (2.4GHz b/g/n)
Enable Wireless Router Radio 
Fragmentation Length (256-2346)	2346
CTS/RTS Threshold (1-2347) 2347	
Preamble Mode	Automatic
Transmit Power Control	100%

Advanced Wireless Settings (5GHz a/n)
Enable Wireless Router Radio
Fragmentation Length (256-2346)	2346
CTS/RTS Threshold (1-2347) 2347	
Preamble Mode	Automatic
Transmit Power Control	 100%

WPS Settings
Router's PIN:	xxxxxxxx  (8 digit number)
Disable Router's PIN
Keep Existing Wireless Settings (2.4GHz b/g/n)
Keep Existing Wireless Settings (5GHz a/n)


Wireless repeating functions are disabled on both 2.4 and 5

Port forwarding/Port triggering: none enabled by default


WAN Setup


 Disable Port Scan and DoS Protection enabled

 Default DMZ Server	.  .  .   not configured

 Respond to Ping on Internet Port - disabled

MTU Size(in bytes)	1500

NAT Filtering	Secured   Open
 Disable SIP ALG

LAN Setup

Device Name	

LAN TCP/IP Setup
IP Address	10.0.0.1  (router moved off of 192.168.1.1 automatically)
IP Subnet Mask	255.255.255.255
RIP Direction	Both
RIP Version	disabled

 Use Router as DHCP Server
Starting IP Address	10.0.0.2
Ending IP Address	10.0.0.254



QoS Setup


Enable WMM (Wi-Fi multimedia) settings (2.4GHz b/g/n) enabled
Enable WMM (Wi-Fi multimedia) settings (5GHz a/n) enabled

Turn Internet Access QoS On (disabled)

Turn Bandwidth Control On (disabled)
  Uplink bandwidth :    Maximum   (256k)   
  Automatically check Internet Uplink bandwidth :      Kbps     

QoS Priority Rule list    


Dyndns disabled


Static routes - none

Remote Management - disabled


 Turn Remote Management On

Remote Management Address:	http://192.168.1.24:8080

Allow Remote Access By:
Only This Computer:	.  .  .  
IP Address Range:	From  .  .  .  
 	 To  .  .  .  
Everyone

Port Number:


USB Settings


Enable any USB Device connected to the USB port  Yes  No

	
UPnP


 Turn UPnP On  (on)
Advertisement Period(in minutes)	30
Advertisement Time to Live(in hops)	4
 

IPv6 disabled

	Traffic Meter


Internet Traffic Meter
Enable Traffic Meter
Traffic volume control by	
Monthly limit	Mbytes
Round up data volume for each connection by	Mbytes
Connection time control
Monthly limit	hours

Traffic Counter
Restart traffic counter at  :   On the  	 day of each month


Traffic Control
Pop up a warning message
Mbytes/Minutes before the monthly limit is reached
When the monthly limit is reached
Turn the Internet LED to flashing green/amber
Disconnect and disable the Internet connection

Internet Traffic Statistics
Start Date/Time: Thursday Sep 1 00:00:00 2011
Current Date/Time: Thursday Sep 22 09:35:45 2011
Traffic Volume Left: 0
Counting Period	Connection Time
(hh:mm)	Traffic Volume (Mbytes)
Upload/Avg	Download/Avg	Total/Avg
Today	0:1	0.00	0.00	0.00
Yesterday	0:0	0.00	0.00	0.00
This week	0:1	0.00/0.00	0.00/0.00	0.00/0.00
This month	0:1	0.00/0.00	0.00/0.00	0.00/0.00
Last month	0:0	0.00/0.00	0.00/0.00	0.00/0.00
   
 

",Jim Gettys,2011-09-22 11:45:20.67034,2012-04-21 12:37:38.539282,Dave Täht,Closed,High
252,cerowrt,addresses distributed with AHCP appear to be firewalled off (cannot route tcp),"Now that ahcp can work, I started deploying a more complex mesh network, and although routes and dns information (UDP) get through, tcp connections do not.

I am thinking I have one of two problems. One is that the server needs to be configured on fixed ips/thenetmask OR the default firewall rules inside of openwrt are messing things up for the mesh interfaces... or there is something else wrong deeper.

More news as it happens.",Dave Täht,2011-08-27 10:37:43.300149,2011-11-18 09:32:37.436453,Dave Täht,New,Urgent
278,cerowrt,Default to HT40+ mode on 5ghz,"5ghz is much cleaner spectrum than 2.4ghz, so defaulting to ht40+ makes sense.",Dave Täht,2011-09-25 05:01:14.197458,2012-04-21 12:38:24.367939,Dave Täht,Closed,Normal
280,cerowrt,ntp patch for ipv6 dad addresses,"---------- Forwarded message ----------
From: Stephen Hemminger <shemminger@vyatta.com>
Date: Mon, Sep 5, 2011 at 3:45 PM
Subject: Re: [PATCH 1/2] bridge: leave carrier on for empty bridge
To: Ang Way Chuang <wcang@sfc.wide.ad.jp>
Cc: Nicolas de Pesloüan <nicolas.2p.debian@gmail.com>, ""David S.
Miller"" <davem@davemloft.net>, netdev@vger.kernel.org


On Tue, 06 Sep 2011 04:02:12 +0900
Ang Way Chuang <wcang@sfc.wide.ad.jp> wrote:

> On 06/09/11 02:57, Stephen Hemminger wrote:
> > The root cause of the problem is applications that don't deal with unresolved
> > IPv6 addresses. I already had to solve this in our distribution for NTP in a
> > not bridge related problem. It is better to fix the applications to understand
> > IPv6 address semantics than to try and force bridge to behave in a way that
> > is friendly to these applications.
> Care to share the patch that you did for NTP? Perhaps, I may apply the same trick and tried it out on dnsmasq and radvd if I have time.

It has been submitted upstream, but probably an eternity until
it ever gets merged through the NTP project...

The problem happens on our system because NTP runs before interfaces
brought up.



commit 0997ebe40b2835a58ba2ea1e504e38d6d29c95ed
Author: Stephen Hemminger <stephen.hemminger@vyatta.com>
Date:   Tue Oct 26 17:55:04 2010 -0700

   Ignore IPV6 Dynamic addresses

   During boot link-local addresses are generated dynamically.
   These addresses are in a tentative state until after resolution occurs.
   While in the tentative state, the address can not be bound to.
   NTP daemon will see the address become available later when it rescans.

   (revised patch for 4.2.4p6)

diff --git a/lib/isc/unix/interfaceiter.c b/lib/isc/unix/interfaceiter.c
index 87af69e..64a9f4f 100644
--- a/lib/isc/unix/interfaceiter.c
+++ b/lib/isc/unix/interfaceiter.c
@@ -151,6 +151,7 @@ get_addr(unsigned int family, isc_netaddr_t *dst,
struct sockaddr *src,
 static isc_result_t linux_if_inet6_next(isc_interfaceiter_t *);
 static isc_result_t linux_if_inet6_current(isc_interfaceiter_t *);
 static void linux_if_inet6_first(isc_interfaceiter_t *iter);
+#include <linux/if_addr.h>
 #endif

 #if HAVE_GETIFADDRS
@@ -216,6 +217,11 @@ linux_if_inet6_current(isc_interfaceiter_t *iter) {
                             ""/proc/net/if_inet6:strlen(%s) != 32"", address);
               return (ISC_R_FAILURE);
       }
+#ifdef __linux
+       /* Ignore DAD addresses -- can't bind to them till resolved */
+       if (flags & IFA_F_TENTATIVE)
+               return (ISC_R_IGNORE);
+#endif
       for (i = 0; i < 16; i++) {
               unsigned char byte;
               static const char hex[] = ""0123456789abcdef"";",David Taht,2011-09-25 15:26:08.623665,2011-11-18 07:41:12.247014,Dave Täht,New,Normal
279,cerowrt,Fwd: [PATCH] ipv6: nullify ipv6_ac_list and ipv6_fl_list when creating new socket,"---------- Forwarded message ----------
From: Yan, Zheng <zheng.z.yan@intel.com>
Date: Sun, Sep 25, 2011 at 5:21 AM
Subject: [PATCH] ipv6: nullify ipv6_ac_list and ipv6_fl_list when
creating new socket
To: ""netdev@vger.kernel.org"" <netdev@vger.kernel.org>,
""davem@davemloft.net"" <davem@davemloft.net>


ipv6_ac_list and ipv6_fl_list from listening socket are inadvertently
shared with new socket created for connection.

Signed-off-by: Zheng Yan <zheng.z.yan@intel.com>
---
diff --git a/net/ipv6/tcp_ipv6.c b/net/ipv6/tcp_ipv6.c
index 3c9fa61..79cc646 100644
--- a/net/ipv6/tcp_ipv6.c
+++ b/net/ipv6/tcp_ipv6.c
@@ -1383,6 +1383,8 @@ static struct sock * tcp_v6_syn_recv_sock(struct
sock *sk, struct sk_buff *skb,
               newtp->af_specific = &tcp_sock_ipv6_mapped_specific;
 #endif

+               newnp->ipv6_ac_list = NULL;
+               newnp->ipv6_fl_list = NULL;
               newnp->pktoptions  = NULL;
               newnp->opt         = NULL;
               newnp->mcast_oif   = inet6_iif(skb);
@@ -1447,6 +1449,7 @@ static struct sock * tcp_v6_syn_recv_sock(struct
sock *sk, struct sk_buff *skb,
          First: no IPv4 options.
        */
       newinet->inet_opt = NULL;
+       newnp->ipv6_ac_list = NULL;
       newnp->ipv6_fl_list = NULL;

       /* Clone RX bits */",David Taht,2011-09-25 05:26:00.404434,2012-04-21 12:38:25.196945,Dave Täht,Closed,Normal
302,cerowrt,Samba badly needs updating....,"The samba in OpenWrt is antique and unmaintained.

Since we likely need it to help bridge between multiple sub-networks for Windows clients, this is bad... And doesn't support modern authentication methods for window.",Jim Gettys,2011-11-18 09:44:51.827349,2012-04-21 12:38:26.944915,Dave Täht,Closed,Normal
309,cerowrt,Turning off wireless acknowledgements for local tcp connnections,"A crazy idea that I've been nursing for a while has been that the core reason why we do all the retries and acknowledgements in the wireless layer to avoid packet loss is because tcp + wireless over the LFN - 30+ms latencies - works really badly. HOWEVER:

I theorize that local connections (e.g. inside the home) have sufficiently low RTTS for tcp to compensate well for the actual wireless packet loss that is occurring.
(and not only that, deal with congestion much better). Furthermore if fair queuing is applied on streams to stations, the bursty packet loss that is typical of wireless would be minimized.

Now, since we can't depend on the RTT measurement due to bufferbloat, inspecting TTL (for ipv6, that's hopcount) at the Access Point, and turning off mac layer acknowledgements when appropriate may actually work. Nobody mucks very much with hopcount. For a TTL of greater than 61 (for ipv4) and a hopcount of greater than 251 (possibly incorrect, have to check the default for ipv6), the connection is pretty much guaranteed to be very local. 

with acks turned off a good wireless connection would actually run faster in the general case, and recover quicker. On a bad connection, this would provide feedback
much sooner than the heroic measures being taken to get the packets through.

mildly deeper packet inspection (only turning off mac layer acks for tcp streams) might work better. OR, applying the don't ack this frame idea algorithmically,
like red, might work as well.

This idea was inspired by seeing patches go by that make turning off mac layer acks a property of the queue for 802.11e. This would make it a property of the packet...

(and this idea only applies to access points. Turning off mac acks at the station layer, mmm... can't do that based on hopcount.)

Now, everybody sing... with appropriate irony... 'Every packet's sacred...'
",Dave Täht,2011-11-25 01:41:14.928091,2012-04-21 12:42:26.021739,Dave Täht,New,Normal
219,cerowrt,dropbear should run out of xinetd,"I had planned to do this for a while now. Our dropbear is already patched to be runnable out of xinetd, I have half a patch to make xinetd oom-killer aware, and there's half a xinetd sensors package around that locks out people (bots, actually) entirely that attempt telnet to the router.

I feel uncomfortable skipping the oom-killer patch, but as fiddling with dropbear and doing it wrong would be bad, getting dropbear to work out of xinetd first, correctly, strikes me as the least risky, so I MAY given time, move dropbear to xinetd and get the sensors package working
before RC5.
",Dave Täht,2011-08-02 16:58:08.262596,2012-04-21 12:30:17.869337,Dave Täht,Closed,Normal
311,cerowrt,Detecting NAT and firewall rules on an interface is a PITA,"If there is any one place where I have shot myself in the foot hundreds of times this year alone, it's on NAT. I keep plugging things into other things and missing a firewall rule or forgetting to turn off nat, and boom, any routing protocol daemon will get confused by this. 

Merely 'remembering' as the idjit admin involved that interface X is natted is not good enough, at least, not for this idjit.

it would be good if there was a kernel event that a routing daemon could subscribe to, a query, a sysfs file, *some* sort of API that says 'yes, virginia, this interface is natted for ipv4' or 'natted for ipv6', and god help you if you announce any routes over it.

Similarly, being able to detect if a major firewall rule was in place, preventing forwarding in particular, would also help.

While you can do this via scripting, or maybe by linking to the iptables library, that's painfully slow, and there is no 'event' per se' that I know of. Maybe there is, who knows?


this was also sort of discussed on homenet, and when the NAT patches for ipv6 came around, I kind of lost it... ",Dave Täht,2011-11-27 02:44:52.252529,2011-11-27 02:44:52.252529,Dave Täht,New,Urgent
303,cerowrt,Samba badly needs updating....,"The samba in OpenWrt is antique and unmaintained.

Since we likely need it to help bridge between multiple sub-networks for Windows clients, this is bad... And doesn't support modern authentication methods for window.",Jim Gettys,2011-11-18 10:48:01.546199,2012-04-21 13:15:38.951355,Dave Täht,Closed,Normal
334,cerowrt,Package libiwinfo required!,"Using bql-31 (OpenWrt | Attitude Adjustment (r29978))

I clicked the Network tab/Wifi sub tab for the first time, and saw this message (screen shot attached).

---
Package libiwinfo required!
The libiwinfo-lua package is not installed. You must install this component for working wireless configuration!
---

The only packages I had installed are snmpd and fprobe. 

Looking at the packages available, there is libiwinfo, but not libiwinfo-lua.",Rich Brown,2012-02-04 11:13:11.602569,2012-04-21 12:35:48.411257,Dave Täht,Closed,Normal
312,cerowrt,QoS/AQM holy grail much closer to achieved,"https://github.com/dtaht/deBloat/commit/6721d1b0bf5e1113a68d128025c46e7c93fc2c6b

There is a downside, but I'd like savor the above commit for a few hours at least.

This requires iproute 3.0 or later, QFQ in the kernel, probably needs BQL, and doesn't
quite work well enough over the LFN for my taste... but it was quite awesome otherwise.",David Taht,2011-11-28 04:40:00.870855,2011-12-01 03:48:18.1703,Dave Täht,New,Normal
324,cerowrt,BUG: scheduling while atomic: swconfig/1340/0x00000002,"In my quest for lower latency throughout the system, I increased the clock interrupt from 100 to 256, enabled low latency desktop, and wanted to see what bugs I would flush out by doing so.

This is one... I had put down working on the switch last year, in march, after beating the buffering problem on it, or so I thought. I never got around to seeing if the the wfq algorithm on it could be made to work - the early data sheets had glowingly cool stuff on them, the later ones deleted that info, so it seems likely that much of the QoS system on-chip actually doesn't work. That said, finding ways to expose more of the switch's functionality higher up on the stack would be good.

Now, previously, I'd tried for a clock interrupt of 1000, and exposed at least two other bugs elsewhere, this one is new...

<pre>
[   21.792968] se00: link up (1000Mbps/Full duplex)
[   22.691406] ADDRCONF(NETDEV_UP): ge00: link is not ready
[   26.695312] BUG: scheduling while atomic: swconfig/1340/0x00000002
[   26.699218] Modules linked in: gpio_buttons usb_storage ohci_hcd xt_hashlimit ip6t_REJECT ip6t_LOG ip6t_rt ip6t_hbh ip6t_mh ip6t_ipv6header ip6t_frag ip6t_eui64 ip6t_ah ip6table_raw ip6_queue ip6table_mangle ip6table_filter ip6_tables nf_conntrack_ipv6 nf_defrag_ipv6 nf_nat_irc nf_conntrack_irc nf_nat_ftp nf_conntrack_ftp xt_HL xt_hl ipt_ECN xt_CLASSIFY xt_time xt_tcpmss xt_statistic xt_mark xt_length ipt_ecn xt_DSCP xt_dscp xt_string xt_layer7 xt_quota xt_pkttype xt_physdev xt_owner ipt_MASQUERADE iptable_nat nf_nat xt_recent xt_helper xt_connmark xt_connbytes pptp xt_conntrack xt_NOTRACK iptable_raw xt_state nf_conntrack_ipv4 nf_defrag_ipv4 nf_conntrack ehci_hcd sd_mod pppoe pppox ipt_REJECT xt_TCPMSS ipt_LOG xt_comment xt_multiport xt_mac xt_limit iptable_mangle iptable_filter ip_tables xt_tcpudp x_tables ip_gre gre ifb sit tunnel4 tun ppp_async ppp_generic slhc vfat fat ext4 jbd2 mbcache autofs4 ath9k ath9k_common ath9k_hw ath nls_utf8 nls_iso8859_2 nls_iso8859_15 nls_iso8859_13 nls_iso8859_1 nls_cp437 mac80211 usbcore scsi_mod nls_base ts_fsm ts_bm ts_kmp crc16 crc_ccitt ipv6 cfg80211 compat arc4 aes_generic crypto_algapi leds_gpio button_hotplug gpio_keys_polled input_polldev input_core
[   26.804687] Call Trace:
[   26.808593] [<802b1200>] dump_stack+0x8/0x34
[   26.812500] [<802b14a8>] __schedule+0x88/0x540
[   26.816406] [<802b22d4>] schedule_timeout+0x1cc/0x200
[   26.824218] [<80083f88>] msleep+0x20/0x30
[   26.828125] [<801ee05c>] rtl8366s_reset_chip+0x2c/0x90
[   26.832031] [<801ee474>] rtl8366s_sw_reset_switch+0x18/0x74
[   26.835937] [<801e62fc>] swconfig_set_attr+0x1f4/0x258
[   26.843750] [<80233f94>] genl_rcv_msg+0x1d4/0x220
[   26.847656] [<80233304>] netlink_rcv_skb+0x6c/0xe8
[   26.851562] [<80233db0>] genl_rcv+0x24/0x34
[   26.855468] [<80232b58>] netlink_unicast+0x274/0x34c
[   26.863281] [<80232ed4>] netlink_sendmsg+0x2a4/0x334
[   26.867187] [<801fefd0>] sock_sendmsg+0x84/0xa4
[   26.871093] [<801ff25c>] __sys_sendmsg+0x1a4/0x24c
[   26.875000] [<80200af8>] sys_sendmsg+0x48/0x7c
[   26.878906] [<8006a3a4>] stack_done+0x20/0x40
[   26.882812] 
</pre>",Dave Täht,2011-12-17 04:35:32.903806,2012-04-21 12:38:32.955603,Dave Täht,Closed,Normal
313,cerowrt,Per-packet RED in linux would be useful,"Many simulations that I've read tend to use a per packet, rather than per byte, form of RED.

This makes enormous sense in that a version of RED that does it only on bytes barely budges when faced with pure ack packets rather than mixed workloads. And certainly doesn't account very well for asymmetric
bandwidths. 

regrettably, RED in linux is bytes, with an average packet size parameter. Twiddle that number as I may and I don't get particularly good results. So writing/finding a version of red that comes closer to the ns2 model may help.
",Dave Täht,2011-11-29 06:48:07.27361,2011-11-29 06:48:07.27361,Dave Täht,New,Normal
340,cerowrt,massive packet loss on wireless crypto in 3.3-rc4-3,"I am getting 80% packet loss on my attempt to get a 3.3-rc4-3 working at all
on encrypted wireless. the icmpv6 errors are another problem entirely
I'd expect.

[   72.040000] ADDRCONF(NETDEV_CHANGE): gw11: link becomes ready
[  318.320000] icmpv6_send: no reply to icmp error
[  318.320000] icmpv6_send: no reply to icmp error
[  650.040000] icmpv6_send: no reply to icmp error
[  650.040000] icmpv6_send: no reply to icmp error
[ 1291.750000] ath: Failed to stop TX DMA, queues=0x004!
[ 1295.080000] ath: Failed to stop TX DMA, queues=0x00c!
[ 1809.500000] icmpv6_send: no reply to icmp error
[ 1923.970000] icmpv6_send: no reply to icmp error
[ 1923.970000] icmpv6_send: no reply to icmp error
[ 1923.970000] icmpv6_send: no reply to icmp error
root@quintaped:/etc/config#",David Taht,2012-02-29 11:11:15.06095,2012-08-02 23:06:59.508704,Dave Täht,Closed,Normal
